timestamp,call_sign,country,distance,altitude,climbing_rate,latitude,longitude,velocidade,tipo
2024-12-19 06:34:01 UTC,IBE0334 ,Spain,55929.3,10538.46,0.0,41.6394,-8.4908,1066.752,0
2024-12-19 06:34:01 UTC,SRR6646 ,Denmark,1946.3,609.6,-3.9,41.1566,-8.6571,265.86,0
2024-12-19 06:34:01 UTC,EJU97KT ,Austria,22624.8,2263.14,15.0,41.3558,-8.5846,559.908,0
2024-12-19 06:34:01 UTC,RYR4ET  ,Malta,12493.2,5387.34,15.3,41.0993,-8.778,667.87200000000007,0
2024-12-19 06:35:02 UTC,IBE0334 ,Spain,58735.6,10546.08,0.0,41.6039,-8.3044,1049.508,0
2024-12-19 06:35:02 UTC,SRR6646 ,Denmark,2800.2,419.1,-3.3,41.189,-8.6656,232.45199999999997,0
2024-12-19 06:35:02 UTC,RYR4ET  ,Malta,20033.9,6118.86,15.0,41.0061,-8.7606,699.552,0
2024-12-19 06:35:02 UTC,EJU97KT ,Austria,27516,3070.86,15.3,41.3615,-8.4786,602.28000000000009,0
2024-12-19 06:35:02 UTC,EJU63KB ,Austria,7891.3,0,n.a.,41.2363,-8.675,12.96,0
2024-12-19 06:36:06 UTC,SRR6646 ,Denmark,6881.7,190.5,-3.6,41.2272,-8.6758,255.34800000000004,0
2024-12-19 06:36:06 UTC,RYR4ET  ,Malta,31771.9,6934.2,13.0,40.8906,-8.7391,735.192,0
2024-12-19 06:36:06 UTC,EJU97KT ,Austria,36395.2,3832.86,16.9,41.3705,-8.3397,685.80000000000007,0
2024-12-19 06:36:06 UTC,EJU63KB ,Austria,7880,0,n.a.,41.2362,-8.6752,12.024,0
2024-12-19 06:37:02 UTC,SRR6646 ,Denmark,8698.7,0,-3.6,41.2435,-8.6801,256.788,0
2024-12-19 06:37:02 UTC,RYR4ET  ,Malta,42606.5,7597.14,10.7,40.7898,-8.7203,751.968,0
2024-12-19 06:37:02 UTC,EJU97KT ,Austria,45623.5,4526.28,11.7,41.3784,-8.2125,724.716,0
2024-12-19 06:37:02 UTC,EJU63KB ,Austria,7880,0,n.a.,41.2362,-8.6752,12.024,0
2024-12-19 06:38:02 UTC,RYR4ET  ,Malta,55568.5,8305.8,7.5,40.6715,-8.6983,761.112,0
2024-12-19 06:38:02 UTC,SRR6646 ,Denmark,8698.7,0,-3.6,41.2435,-8.6801,256.788,0
2024-12-19 06:38:02 UTC,EJU63KB ,Austria,7880,0,n.a.,41.2362,-8.6752,12.024,0
2024-12-19 06:39:06 UTC,SRR6646 ,Denmark,8698.7,0,-3.6,41.2435,-8.6801,256.788,0
2024-12-19 06:39:06 UTC,TAP452  ,Portugal,11905.8,586.74,12.0,41.2719,-8.6878,268.776,0
2024-12-19 06:39:06 UTC,EJU63KB ,Austria,7880,0,n.a.,41.2362,-8.6752,12.024,0
2024-12-19 06:40:02 UTC,SRR6646 ,Denmark,8698.7,0,-3.6,41.2435,-8.6801,256.788,0
2024-12-19 06:40:02 UTC,TAP452  ,Portugal,16431.5,1127.76,14.3,41.3118,-8.6982,339.084,0
2024-12-19 06:40:02 UTC,EJU63KB ,Austria,7880,0,n.a.,41.2362,-8.6752,12.024,0
